Book_ID,award_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
2,42
2,43
2,44
2,45
2,6
2,11
2,46
2,47
2,48
3,49
3,50
3,51
3,52
5,2
5,3
5,53
5,54
5,6
5,7
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,14
5,16
5,63
5,64
5,47
5,23
5,25
5,28
5,65
5,34
5,35
6,66
6,67
6,3
6,68
6,54
6,69
6,70
6,71
6,72
6,73
6,64
6,22
6,74
6,75
6,76
6,77
6,78
6,32
6,79
6,80
7,81
7,82
10,83
10,84
11,2
11,3
11,85
11,86
11,7
11,13
11,14
11,16
11,17
11,87
11,88
11,22
11,89
11,90
11,26
11,27
11,28
11,91
11,92
11,93
11,33
11,94
11,35
11,95
11,96
11,97
11,98
11,99
15,100
15,101
15,102
15,103
15,61
15,12
15,23
15,104
15,105
21,81
21,106
21,107
21,108
22,2
22,109
22,14
22,16
22,17
22,18
22,110
22,111
22,24
22,25
22,27
22,75
22,112
22,113
22,93
22,114
22,94
22,35
22,115
22,116
25,117
25,118
25,119
25,120
28,121
29,122
29,123
29,124
29,125
29,28
30,126
30,127
30,128
30,80
31,129
31,130
31,70
31,131
31,132
31,104
31,75
31,118
31,133
31,134
33,44
33,135
33,136
33,137
33,138
33,7
33,139
33,57
33,10
33,140
33,141
33,11
33,142
33,143
33,46
33,144
33,145
33,146
33,25
33,29
33,147
33,148
33,149
33,150
33,151
33,48
33,38
33,152
34,82
35,153
35,154
35,155
35,141
35,156
36,157
37,158
37,129
37,159
37,160
37,70
37,161
40,162
40,163
41,64
41,51
43,164
43,6
43,139
43,165
43,140
43,141
43,166
43,71
43,167
43,168
43,169
43,75
43,170
43,38
44,171
45,172
45,101
45,107
45,173
45,75
46,174
46,175
46,176
46,80
47,177
47,178
47,179
47,180
49,181
49,129
49,172
49,101
49,182
49,56
49,183
49,23
49,104
49,25
49,75
49,35
50,6
50,80
51,184
51,171
51,185
54,186
54,187
54,70
54,188
54,75
54,189
54,190
54,191
54,192
54,193
56,101
56,161
56,194
56,195
57,51
58,196
58,177
58,51
58,197
60,198
60,102
60,70
60,161
60,104
60,75
60,199
60,195
61,200
61,177
61,201
61,202
61,130
61,203
61,204
61,205
61,206
61,207
61,208
61,190
61,209
62,174
62,210
62,4
62,211
62,212
62,57
62,213
62,59
62,214
62,215
62,216
62,217
62,218
62,25
62,219
62,220
62,221
62,170
62,38
62,222
62,41
62,80
63,51
64,126
64,127
64,223
66,201
66,179
66,224
66,225
68,226
68,227
68,228
68,229
68,27
68,230
69,50
69,231
72,232
72,233
72,138
72,6
72,64
72,104
72,234
72,48
74,235
75,236
75,237
76,238
76,13
76,161
76,28
76,93
76,239
77,233
77,240
77,241
77,6
77,242
77,7
77,243
77,244
77,245
77,141
77,246
77,247
77,144
77,248
77,249
77,38
78,250
79,251
79,252
79,253
79,254
79,255
79,256
79,70
79,257
80,258
80,259
81,81
81,260
82,49
82,258
82,261
82,134
83,50
84,81
85,49
85,201
85,262
85,263
85,104
85,261
85,264
85,265
85,266
85,199
85,267
85,268
87,269
87,270
87,271
87,272
87,273
87,70
87,274
90,275
90,276
90,277
90,278
90,279
90,70
90,280
90,267
91,227
91,281
91,75
91,230
92,282
92,283
92,284
93,81
93,51
94,285
94,286
94,178
94,287
94,44
94,6
94,11
94,288
94,289
94,144
94,17
94,145
94,146
95,49
95,290
95,51
99,291
101,292
101,231
102,101
102,293
103,129
103,294
103,75
103,239
103,195
104,126
104,44
104,295
104,292
104,7
104,46
104,144
104,296
104,297
105,298
105,299
105,26
105,75
105,300
105,33
105,95
105,37
106,232
106,45
106,301
108,49
108,302
108,303
108,130
108,304
108,261
109,305
111,306
111,307
111,308
111,161
111,309
111,310
111,311
111,312
112,313
112,224
113,171
114,67
114,6
114,314
114,57
114,140
114,11
114,166
114,14
114,315
114,16
114,46
114,17
114,168
114,169
114,25
114,151
114,316
114,317
114,170
114,38
115,6
115,318
116,286
116,127
116,319
117,121
119,320
119,321
119,71
119,63
119,322
119,26
119,75
119,323
119,93
119,33
119,96
119,324
120,325
120,326
120,198
120,327
120,102
120,163
120,199
120,328
120,329
121,330
121,302
121,331
121,227
121,332
121,333
121,70
121,161
121,73
121,75
121,334
121,335
121,48
121,336
121,99
122,337
124,203
125,338
125,339
125,340
125,341
125,342
125,343
125,344
125,345
125,346
126,141
126,318
127,44
127,159
127,347
127,6
127,11
127,46
127,146
130,348
131,349
132,75
133,350
134,6
134,351
135,352
135,126
135,127
135,178
135,353
135,179
135,354
135,355
135,356
135,357
135,358
135,359
135,291
137,49
137,278
137,261
137,360
138,361
138,362
139,174
139,363
139,7
139,57
139,140
139,213
139,141
139,364
139,166
139,15
139,16
139,17
139,365
139,366
139,73
139,322
139,367
139,24
139,219
139,368
139,38
139,369
140,171
140,370
140,371
141,372
141,373
141,374
141,375
141,376
141,377
141,378
141,379
141,380
141,381
141,382
141,383
141,384
141,378
141,385
141,386
141,387
142,313
142,179
142,11
142,388
143,17
143,389
143,48
143,116
145,390
145,391
145,231
147,191
148,392
148,6
148,393
150,138
150,203
151,116
152,299
152,394
154,23
157,200
157,302
157,395
157,396
157,203
157,70
157,397
157,398
157,399
157,329
157,267
159,400
160,401
162,171
165,337
165,402
166,313
166,179
167,110
167,350
169,83
169,403
173,404
175,178
176,116
178,107
178,340
178,405
178,261
178,51
179,406
179,407
181,140
184,174
184,171
184,408
184,175
184,409
185,410
187,411
187,327
187,255
187,412
187,413
188,2
188,414
188,299
188,10
188,415
188,16
188,18
188,28
188,30
189,3
189,408
189,416
190,417
191,418
192,233
192,419
192,50
193,420
193,76
193,421
194,422
195,286
195,177
195,178
195,423
195,424
197,258
197,261
197,51
199,425
200,123
200,426
200,314
200,47
200,28
200,35
200,95
200,41
201,312
203,199
203,91
203,195
205,151
207,427
207,428
208,186
208,203
209,168
209,47
209,429
209,195
209,99
210,430
210,6
210,314
210,11
210,60
210,431
210,17
210,169
211,432
212,433
212,129
212,434
212,356
212,161
212,75
212,435
212,436
212,267
214,178
214,437
214,438
216,49
216,439
216,440
216,261
216,441
216,51
217,442
218,49
218,278
218,340
220,75
220,404
221,171
222,1
222,4
222,17
222,443
222,88
222,444
222,445
222,446
222,116
223,7
223,16
223,447
224,75
224,448
224,404
225,110
225,449
225,450
226,451
226,110
228,452
229,286
230,186
230,267
231,171
231,76
232,453
232,50
233,129
233,161
233,75
233,329
235,154
235,454
235,455
235,456
235,219
236,352
236,179
236,457
236,458
236,346
237,2
237,415
237,110
237,459
237,444
237,26
237,75
237,33
237,239
237,99
238,123
238,4
238,460
238,124
238,71
238,25
238,28
238,34
238,239
239,461
241,462
243,400
244,153
244,210
244,57
244,213
244,15
244,169
244,463
244,38
245,464
245,465
245,466
246,4
246,467
246,5
246,468
246,71
246,27
246,75
246,469
246,116
246,470
247,352
247,130
247,304
248,471
248,267
249,177
249,178
249,180
251,195
252,299
253,472
253,195
256,473
256,474
258,475
258,271
258,290
258,476
258,477
259,352
259,179
260,478
260,229
261,126
261,81
262,174
262,171
262,140
262,175
262,479
262,219
264,254
264,480
264,481
264,482
265,483
265,199
267,191
268,3
268,468
268,484
268,239
269,485
272,486
272,487
272,71
272,47
272,488
272,75
272,323
272,32
272,33
272,239
272,297
273,313
273,179
274,489
274,490
274,69
274,56
274,71
274,175
274,16
274,229
274,491
274,75
274,492
274,170
274,80
277,312
278,130
278,304
279,356
279,493
280,494
281,1
281,210
281,408
281,495
281,140
281,364
281,47
281,496
281,151
284,353
284,497
284,498
284,499
284,500
285,50
288,258
289,501
289,411
289,299
289,502
289,341
289,104
289,503
289,504
289,505
290,506
290,507
290,508
291,509
294,122
294,44
294,510
294,14
294,18
294,511
294,459
294,512
294,513
294,27
294,75
294,514
294,515
294,93
294,239
294,195
296,327
296,161
296,516
299,275
299,183
299,163
299,261
302,517
303,361
303,340
303,518
303,519
303,47
303,520
303,521
305,522
305,140
305,318
305,523
306,469
307,3
307,290
307,479
307,199
307,524
307,32
307,471
307,525
309,313
309,526
309,312
309,436
309,527
312,18
312,488
312,75
312,528
312,324
313,258
313,261
315,200
315,201
315,158
315,302
315,161
315,261
315,120
315,267
316,529
316,530
317,313
317,531
317,327
317,532
317,307
318,52
320,122
320,533
320,534
320,161
320,75
320,535
320,536
320,537
320,538
320,539
323,540
325,401
325,301
327,1
327,110
327,514
327,112
327,541
328,51
329,7
331,313
331,355
331,542
331,161
334,174
334,543
334,544
334,545
334,10
334,15
334,546
334,38
335,177
336,547
337,2
337,420
337,233
337,69
337,13
337,14
337,87
337,20
337,322
337,89
337,367
337,548
337,491
337,28
337,549
337,448
337,92
337,538
337,550
337,239
337,324
338,507
338,551
338,552
339,553
339,81
339,554
339,6
339,163
339,555
340,428
341,556
343,313
343,526
343,557
343,558
344,123
344,124
344,559
344,415
344,18
344,459
344,488
344,491
344,75
344,560
344,528
344,48
344,239
346,71
346,18
346,488
346,491
346,75
346,30
346,469
346,38
347,561
350,562
350,294
350,563
350,261
350,466
352,81
352,564
354,565
354,6
354,7
356,126
356,174
356,566
356,179
356,210
356,45
356,175
356,63
356,567
356,512
356,291
356,568
356,230
356,569
356,97
356,470
358,570
359,258
359,270
359,70
359,571
359,183
359,261
359,572
359,477
359,573
361,574
361,575
361,7
361,576
361,15
361,546
361,22
361,577
361,578
361,579
361,580
361,581
361,582
361,583
361,584
361,585
361,586
361,48
361,587
361,324
361,588
361,98
361,38
361,222
363,171
363,589
363,175
363,590
363,478
363,248
364,312
364,527
365,123
365,510
365,591
365,491
365,528
367,7
367,11
367,12
367,17
368,420
368,592
368,299
368,593
368,594
368,595
368,596
371,597
374,598
374,599
374,51
375,600
375,439
377,49
377,278
377,601
377,107
377,340
377,602
377,261
380,7
380,17
380,28
381,603
381,124
381,57
381,10
381,175
381,63
381,169
381,75
384,186
384,262
384,604
384,605
384,231
386,179
387,606
388,607
389,186
389,206
389,608
389,609
389,610
390,50
390,51
391,200
391,177
391,201
391,158
391,302
391,172
391,261
391,611
391,535
391,268
392,612
393,613
393,160
393,614
393,430
393,161
393,615
393,616
393,617
393,538
393,223
395,618
397,619
398,330
398,313
398,620
398,135
398,241
398,7
399,290
402,621
402,231
403,390
403,270
405,200
405,276
405,468
405,161
405,622
405,623
405,624
405,75
405,625
405,608
405,626
405,627
405,628
405,629
405,630
405,133
405,267
406,631
408,408
408,6
408,632
408,7
408,244
408,633
409,468
409,71
409,431
409,18
409,28
409,404
409,239
409,37
409,634
410,44
412,200
412,635
412,636
412,203
412,637
412,190
412,466
413,232
413,638
413,71
413,18
413,110
413,488
413,491
413,639
413,75
413,514
413,640
413,33
413,239
413,116
414,279
415,641
415,116
416,75
416,389
417,241
417,335
418,642
418,157
419,201
419,179
419,643
419,358
419,291
419,346
419,616
419,644
420,645
421,646
421,70
421,647
421,648
422,642
422,157
423,195
424,649
425,121
427,107
427,75
427,650
428,186
429,123
429,468
429,18
429,488
429,75
429,651
429,607
429,652
430,286
430,313
431,75
431,239
432,653
432,13
432,491
432,435
432,654
433,109
433,12
433,13
433,14
433,27
433,75
433,32
433,48
433,239
434,6
435,49
435,258
435,655
435,183
435,261
436,273
436,468
436,656
436,657
436,75
436,658
436,659
439,126
439,330
439,177
439,660
439,661
439,361
439,542
439,101
439,291
439,266
440,662
440,51
443,49
443,130
443,161
443,663
443,664
443,76
443,665
443,666
443,51
443,667
443,267
445,55
445,141
445,142
445,71
445,168
446,171
447,668
449,340
449,70
449,199
449,669
449,670
449,671
449,466
450,23
450,75
450,195
451,556
452,672
453,673
453,674
453,675
453,348
453,494
453,676
453,677
453,678
455,83
457,679
457,680
457,681
458,126
458,127
458,682
458,357
458,683
458,533
458,437
458,684
458,265
458,685
458,686
461,83
461,258
461,687
461,50
465,420
465,299
467,75
467,404
468,276
468,270
471,688
471,689
471,690
471,691
471,692
472,286
472,178
472,179
472,354
472,291
472,693
473,404
474,694
475,695
479,404
482,696
482,563
482,270
482,697
482,698
484,262
484,699
484,700
485,404
486,701
486,702
486,703
491,704
491,230
492,705
494,285
494,706
494,707
494,566
494,708
494,210
494,175
494,709
494,710
494,569
494,711
496,123
496,109
496,712
496,16
496,18
496,488
496,75
496,713
496,48
496,538
496,94
496,35
496,95
496,116
497,714
497,432
497,715
497,716
499,717
499,69
499,468
499,718
499,322
499,512
499,75
499,719
499,720
503,484
506,721
509,722
510,313
510,179
512,158
512,723
512,724
512,204
512,494
512,725
513,238
513,311
513,75
513,726
514,23
514,75
515,420
515,727
516,728
518,729
519,730
520,731
521,395
521,732
521,733
522,299
523,657
523,400
523,734
523,735
523,328
524,736
524,13
524,75
524,737
525,3
525,109
525,27
525,28
525,738
525,739
525,740
526,110
526,389
526,39
528,50
529,102
530,71
